row,longitude,latitude,housing_median_age,total_rooms,total_bedrooms,population,households,median_income,median_house_value,ocean_proximity,bin_num,bin_cat,ord_num,ord_cat,dateTime,year,age,elapsed_days,month,hour,nominal_num,nominal_cat
2,-122.23,37.88,41.0,880,129.0,322.0,126.0,8.3252,452600.0,NEAR BAY,1.0,Yes,5.0,Very High,2025-12-17 22:00:00,2001.0,27.0,141.0,10.0,21.0,0.0,Violet
3,-122.22,37.86,21.0,7099,1106.0,2401.0,1138.0,8.3014,358500.0,NEAR BAY,1.0,Yes,4.0,High,2025-07-18 07:00:00,2020.0,35.0,5.0,3.0,18.0,2.0,Blue
4,-122.24,37.85,52.0,1467,190.0,496.0,177.0,7.2574,352100.0,NEAR BAY,1.0,Yes,1.0,Very Low,2022-08-24 21:00:00,2001.0,43.0,78.0,2.0,6.0,3.0,Green
5,-122.25,37.85,52.0,1274,235.0,558.0,219.0,5.6431,341300.0,NEAR BAY,0.0,No,3.0,Medium,2022-08-02 14:00:00,2000.0,24.0,37.0,9.0,9.0,3.0,Green
6,-122.26,37.84,42.0,2555,665.0,1206.0,595.0,2.0804,226700.0,NEAR BAY,1.0,Yes,4.0,High,2024-04-22 14:00:00,2015.0,26.0,184.0,12.0,23.0,1.0,Pink
7,-122.25,37.85,52.0,1627,280.0,565.0,259.0,3.8462,342200.0,NEAR BAY,1.0,Yes,5.0,Very High,2023-05-09 05:00:00,,,,1.0,1.0,0.0,Violet
8,-122.25,37.85,52.0,919,213.0,413.0,193.0,4.0368,269700.0,NEAR BAY,1.0,Yes,2.0,Low,2023-02-22 00:00:00,,,,9.0,22.0,4.0,Red
9,-122.25,37.84,52.0,2535,489.0,1094.0,514.0,3.6591,299200.0,NEAR BAY,1.0,Yes,2.0,Low,2017-03-06 01:00:00,2012.0,21.0,157.0,,,3.0,Green
10,-122.25,37.84,52.0,3104,687.0,1157.0,647.0,3.12,241400.0,NEAR BAY,0.0,No,2.0,Low,2024-06-23 06:00:00,2024.0,25.0,159.0,,,2.0,Blue
11,-122.23,37.88,41.0,880,129.0,322.0,126.0,8.3252,452600.0,NEAR BAY,1.0,Yes,2.0,Low,2018-07-16 17:00:00,2020.0,23.0,74.0,12.0,22.0,,Blue
12,-122.26,37.84,42.0,2555,665.0,1206.0,595.0,2.0804,226700.0,NEAR BAY,0.0,No,4.0,High,2022-10-13 09:00:00,2010.0,37.0,105.0,12.0,18.0,0.0,Violet
13,-122.25,37.84,52.0,3549,707.0,1551.0,714.0,3.6912,261100.0,NEAR BAY,0.0,No,3.0,Medium,2015-07-01 19:00:00,2006.0,40.0,115.0,7.0,15.0,4.0,Red
14,-122.26,37.85,52.0,2202,434.0,910.0,402.0,3.2031,281500.0,NEAR BAY,0.0,No,1.0,Very Low,2020-09-05 10:00:00,2015.0,38.0,187.0,4.0,16.0,1.0,Pink
15,-122.26,37.85,52.0,3503,752.0,1504.0,734.0,3.2705,241800.0,NEAR BAY,1.0,Yes,4.0,High,2016-12-22 13:00:00,2017.0,42.0,127.0,4.0,9.0,1.0,Pink
16,-122.26,37.85,52.0,2491,474.0,1098.0,468.0,3.075,213500.0,NEAR BAY,0.0,No,1.0,Very Low,2020-01-08 08:00:00,2025.0,45.0,35.0,11.0,20.0,3.0,Green
17,-122.26,37.84,52.0,696,191.0,345.0,174.0,2.6736,191300.0,NEAR BAY,0.0,No,2.0,Low,2017-03-29 04:00:00,2019.0,17.0,198.0,5.0,23.0,4.0,Red
18,-122.26,37.85,52.0,2643,626.0,1212.0,620.0,1.9167,159200.0,NEAR BAY,0.0,No,5.0,Very High,2018-07-16 16:00:00,2010.0,33.0,208.0,8.0,11.0,1.0,Pink
19,-122.26,37.85,50.0,1120,283.0,697.0,264.0,2.125,140000.0,NEAR BAY,0.0,No,4.0,High,2021-06-28 03:00:00,2021.0,14.0,146.0,6.0,21.0,4.0,Red
20,-122.27,37.85,52.0,1966,347.0,793.0,331.0,2.775,152500.0,NEAR BAY,0.0,No,5.0,Very High,2018-05-08 18:00:00,2021.0,21.0,32.0,9.0,6.0,2.0,Blue
21,-122.27,37.85,52.0,1228,293.0,648.0,303.0,2.1202,155500.0,NEAR BAY,0.0,No,2.0,Low,2022-05-22 12:00:00,2003.0,16.0,76.0,5.0,7.0,2.0,Blue
22,-122.26,37.84,50.0,2239,455.0,990.0,419.0,1.9911,158700.0,NEAR BAY,0.0,No,3.0,Medium,2020-02-20 11:00:00,2016.0,38.0,83.0,3.0,19.0,4.0,Red
23,-122.27,37.84,52.0,1503,298.0,690.0,275.0,2.6033,162900.0,NEAR BAY,1.0,Yes,5.0,Very High,2018-08-09 22:00:00,2013.0,44.0,68.0,10.0,8.0,1.0,Pink
24,-122.27,37.85,40.0,751,184.0,409.0,166.0,1.3578,147500.0,NEAR BAY,,Yes,1.0,Very Low,2021-06-12 20:00:00,2003.0,35.0,56.0,8.0,15.0,0.0,Violet
25,-122.27,37.85,42.0,1639,367.0,929.0,366.0,1.7135,159800.0,NEAR BAY,1.0,Yes,3.0,Medium,2021-05-29 20:00:00,2003.0,38.0,4.0,6.0,20.0,1.0,Pink
26,-122.26,37.84,42.0,2555,665.0,1206.0,595.0,2.0804,226700.0,NEAR BAY,1.0,Yes,3.0,Medium,2024-10-29 04:00:00,2017.0,38.0,200.0,2.0,8.0,2.0,Blue
27,-122.27,37.84,52.0,2436,541.0,1015.0,478.0,1.725,113900.0,NEAR BAY,0.0,No,1.0,Very Low,2024-05-17 18:00:00,2007.0,19.0,198.0,3.0,11.0,0.0,Violet
28,-122.23,37.88,41.0,880,129.0,322.0,126.0,8.3252,452600.0,NEAR BAY,0.0,No,2.0,Low,2019-02-10 15:00:00,2015.0,41.0,73.0,2.0,23.0,2.0,Blue
29,-122.27,37.84,52.0,1688,337.0,853.0,325.0,2.1806,99700.0,NEAR BAY,0.0,No,5.0,Very High,2016-12-06 20:00:00,2006.0,25.0,2.0,5.0,22.0,4.0,Red
30,-122.27,37.84,52.0,2224,437.0,1006.0,422.0,2.6,132600.0,NEAR BAY,1.0,Yes,5.0,Very High,2019-08-27 12:00:00,2012.0,42.0,63.0,8.0,19.0,0.0,Violet
31,-122.28,37.85,41.0,535,123.0,317.0,119.0,2.4038,107500.0,NEAR BAY,0.0,No,4.0,High,2018-07-28 02:00:00,2018.0,26.0,69.0,2.0,5.0,4.0,Red
32,-122.28,37.85,49.0,1130,244.0,607.0,239.0,2.4597,93800.0,NEAR BAY,0.0,No,5.0,Very High,2016-11-04 18:00:00,2023.0,34.0,203.0,10.0,3.0,0.0,Violet
33,-122.28,37.85,52.0,1898,421.0,1102.0,397.0,1.808,105500.0,NEAR BAY,0.0,No,1.0,Very Low,2018-11-05 19:00:00,2014.0,35.0,194.0,5.0,22.0,4.0,Red
34,-122.28,37.84,50.0,2082,492.0,1131.0,473.0,1.6424,108900.0,NEAR BAY,0.0,No,3.0,Medium,2020-06-17 17:00:00,2002.0,31.0,129.0,3.0,12.0,3.0,Green
35,-122.28,37.84,52.0,729,160.0,395.0,155.0,1.6875,132000.0,NEAR BAY,1.0,Yes,3.0,Medium,2015-06-07 19:00:00,2001.0,36.0,38.0,1.0,0.0,4.0,Red
36,-122.26,37.84,42.0,2555,665.0,1206.0,595.0,2.0804,226700.0,NEAR BAY,0.0,No,2.0,Low,2024-09-11 21:00:00,2005.0,41.0,10.0,1.0,0.0,3.0,Green
37,-122.28,37.84,49.0,1916,447.0,863.0,378.0,1.9274,122300.0,NEAR BAY,1.0,Yes,1.0,Very Low,2020-09-22 00:00:00,2000.0,19.0,116.0,2.0,6.0,3.0,Green
38,-122.28,37.84,52.0,2153,481.0,1168.0,441.0,1.9615,115200.0,NEAR BAY,0.0,No,4.0,High,2015-02-28 11:00:00,2022.0,31.0,214.0,7.0,3.0,0.0,Violet
39,-122.27,37.84,48.0,1922,409.0,1026.0,335.0,1.7969,110400.0,NEAR BAY,1.0,Yes,5.0,Very High,2024-03-27 23:00:00,2025.0,20.0,161.0,12.0,2.0,0.0,Violet
40,-122.27,37.83,49.0,1655,366.0,754.0,329.0,1.375,104900.0,NEAR BAY,0.0,No,1.0,Very Low,2016-03-05 13:00:00,2017.0,21.0,160.0,2.0,19.0,0.0,Violet
41,-122.27,37.83,51.0,2665,574.0,1258.0,536.0,2.7303,109700.0,NEAR BAY,0.0,No,4.0,High,2020-08-26 07:00:00,2010.0,32.0,194.0,3.0,17.0,1.0,Pink
42,-122.27,37.83,49.0,1215,282.0,570.0,264.0,1.4861,97200.0,NEAR BAY,1.0,Yes,2.0,Low,2018-04-11 20:00:00,2014.0,24.0,100.0,2.0,3.0,4.0,Red
43,-122.27,37.83,48.0,1798,432.0,987.0,374.0,1.0972,104500.0,NEAR BAY,0.0,No,5.0,Very High,2022-09-20 19:00:00,2000.0,34.0,137.0,9.0,16.0,1.0,Pink
44,-122.28,37.83,52.0,1511,390.0,901.0,403.0,1.4103,103900.0,NEAR BAY,0.0,No,4.0,High,2018-06-17 15:00:00,2015.0,14.0,108.0,3.0,22.0,4.0,Red
45,-122.26,37.83,52.0,1470,330.0,689.0,309.0,3.48,191400.0,NEAR BAY,0.0,No,3.0,Medium,2020-08-23 20:00:00,2013.0,28.0,63.0,10.0,10.0,3.0,Green
46,-122.26,37.83,52.0,2432,715.0,1377.0,696.0,2.5898,176000.0,NEAR BAY,1.0,Yes,1.0,Very Low,2020-01-07 17:00:00,2021.0,24.0,146.0,10.0,7.0,0.0,Violet
47,-122.26,37.83,52.0,1665,419.0,946.0,395.0,2.0978,155400.0,NEAR BAY,1.0,Yes,1.0,Very Low,2020-07-08 00:00:00,2002.0,21.0,22.0,12.0,8.0,3.0,Green
48,-122.26,37.83,51.0,936,311.0,517.0,249.0,1.2852,150000.0,NEAR BAY,0.0,No,4.0,High,2015-04-03 15:00:00,2022.0,29.0,118.0,4.0,22.0,2.0,Blue
49,-122.26,37.84,49.0,713,202.0,462.0,189.0,1.025,118800.0,NEAR BAY,0.0,No,4.0,High,2023-06-14 01:00:00,2023.0,28.0,204.0,6.0,3.0,0.0,Violet
50,-122.26,37.84,52.0,950,202.0,467.0,198.0,3.9643,188800.0,NEAR BAY,0.0,No,5.0,Very High,2015-01-10 19:00:00,2019.0,28.0,84.0,8.0,20.0,0.0,Violet
51,-122.26,37.83,52.0,1443,311.0,660.0,292.0,3.0125,184400.0,NEAR BAY,1.0,Yes,1.0,Very Low,2021-03-24 19:00:00,2004.0,41.0,217.0,9.0,17.0,4.0,Red
52,-122.26,37.83,52.0,1656,420.0,718.0,382.0,2.6768,182300.0,NEAR BAY,0.0,No,3.0,Medium,2025-09-28 09:00:00,2025.0,19.0,33.0,12.0,9.0,2.0,Blue
53,-122.26,37.83,50.0,1125,322.0,616.0,304.0,2.026,142500.0,NEAR BAY,0.0,No,1.0,Very Low,2015-08-08 10:00:00,2025.0,42.0,38.0,11.0,8.0,3.0,Green
54,-122.27,37.82,43.0,1007,312.0,558.0,253.0,1.7348,137500.0,NEAR BAY,0.0,No,1.0,Very Low,2025-07-10 10:00:00,2019.0,40.0,128.0,6.0,0.0,1.0,Pink
55,-122.26,37.82,40.0,624,195.0,423.0,160.0,0.9506,187500.0,NEAR BAY,1.0,Yes,1.0,Very Low,2015-07-13 23:00:00,2014.0,26.0,10.0,2.0,2.0,2.0,Blue
56,-122.27,37.82,40.0,946,375.0,700.0,352.0,1.775,112500.0,NEAR BAY,0.0,No,5.0,Very High,2015-07-12 13:00:00,2001.0,14.0,4.0,7.0,19.0,0.0,Violet
57,-122.27,37.82,21.0,896,453.0,735.0,438.0,0.9218,171900.0,NEAR BAY,0.0,No,1.0,Very Low,2020-05-09 04:00:00,2021.0,22.0,109.0,10.0,16.0,4.0,Red
58,-122.27,37.82,43.0,1868,456.0,1061.0,407.0,1.5045,93800.0,NEAR BAY,0.0,No,1.0,Very Low,2021-05-27 12:00:00,2010.0,35.0,188.0,3.0,18.0,4.0,Red
59,-122.27,37.82,41.0,3221,853.0,1959.0,720.0,1.1108,97500.0,NEAR BAY,0.0,No,5.0,Very High,2021-01-19 02:00:00,2018.0,44.0,95.0,4.0,13.0,0.0,Violet
60,-122.27,37.82,52.0,1630,456.0,1162.0,400.0,1.2475,104200.0,NEAR BAY,0.0,No,1.0,Very Low,2023-12-26 16:00:00,2015.0,18.0,30.0,11.0,16.0,3.0,Green
61,-122.28,37.82,52.0,1170,235.0,701.0,233.0,1.6098,87500.0,NEAR BAY,0.0,No,4.0,High,2018-05-18 01:00:00,2003.0,22.0,156.0,12.0,12.0,2.0,Blue
62,-122.28,37.82,52.0,945,243.0,576.0,220.0,1.4113,83100.0,NEAR BAY,1.0,Yes,1.0,Very Low,2020-09-08 09:00:00,2023.0,26.0,116.0,1.0,17.0,4.0,Red
63,-122.28,37.82,52.0,1238,288.0,622.0,259.0,1.5057,87500.0,NEAR BAY,0.0,No,4.0,High,2015-01-02 18:00:00,2005.0,26.0,124.0,4.0,4.0,3.0,Green
64,-122.28,37.82,52.0,1489,335.0,728.0,244.0,0.8172,85300.0,NEAR BAY,1.0,Yes,4.0,High,2018-03-16 07:00:00,2002.0,30.0,64.0,6.0,9.0,4.0,Red
65,-122.28,37.82,52.0,1387,341.0,1074.0,304.0,1.2171,80300.0,NEAR BAY,1.0,Yes,5.0,Very High,2015-02-01 14:00:00,2004.0,36.0,5.0,12.0,5.0,1.0,Pink
66,-122.29,37.82,2.0,158,43.0,94.0,57.0,2.5625,60000.0,NEAR BAY,1.0,Yes,5.0,Very High,2017-08-15 18:00:00,2018.0,43.0,182.0,12.0,13.0,0.0,Violet
67,-122.29,37.83,52.0,1121,211.0,554.0,187.0,3.3929,75700.0,NEAR BAY,1.0,Yes,3.0,Medium,2019-10-18 15:00:00,2012.0,13.0,149.0,1.0,7.0,0.0,Violet
68,-122.29,37.82,49.0,135,29.0,86.0,23.0,6.1183,75000.0,NEAR BAY,0.0,No,3.0,Medium,2024-05-01 20:00:00,2019.0,13.0,70.0,6.0,12.0,0.0,Violet
69,-122.29,37.81,50.0,760,190.0,377.0,122.0,0.9011,86100.0,NEAR BAY,0.0,No,1.0,Very Low,2020-08-13 06:00:00,2020.0,19.0,159.0,1.0,22.0,0.0,Violet
70,-122.3,37.81,52.0,1224,237.0,521.0,159.0,1.191,76100.0,NEAR BAY,0.0,No,5.0,Very High,2017-10-12 22:00:00,2025.0,41.0,133.0,10.0,10.0,2.0,Blue
71,-122.3,37.81,48.0,828,182.0,392.0,133.0,2.5938,73500.0,NEAR BAY,1.0,Yes,1.0,Very Low,2022-05-07 17:00:00,2022.0,12.0,171.0,6.0,4.0,2.0,Blue
72,-122.3,37.81,52.0,1010,209.0,604.0,187.0,1.1667,78400.0,NEAR BAY,1.0,Yes,4.0,High,2023-08-18 01:00:00,2003.0,27.0,74.0,11.0,18.0,4.0,Red
73,-122.3,37.81,48.0,1455,354.0,788.0,332.0,0.8056,84400.0,NEAR BAY,0.0,No,5.0,Very High,2017-01-11 05:00:00,2018.0,12.0,179.0,7.0,12.0,0.0,Violet
74,-122.29,37.8,52.0,1027,244.0,492.0,147.0,2.6094,81300.0,NEAR BAY,1.0,Yes,5.0,Very High,2024-05-22 19:00:00,2014.0,38.0,42.0,3.0,0.0,0.0,Violet
75,-122.3,37.81,52.0,572,109.0,274.0,82.0,1.8516,85000.0,NEAR BAY,1.0,Yes,4.0,High,2020-04-09 21:00:00,2009.0,34.0,18.0,7.0,1.0,2.0,Blue
76,-122.29,37.81,46.0,2801,644.0,1823.0,611.0,0.9802,129200.0,NEAR BAY,1.0,Yes,2.0,,2017-01-04 07:00:00,2001.0,32.0,192.0,8.0,1.0,1.0,Pink
77,-122.29,37.81,26.0,768,152.0,392.0,127.0,1.7719,82500.0,NEAR BAY,0.0,No,4.0,High,2022-04-02 13:00:00,2006.0,34.0,44.0,6.0,8.0,3.0,Green
78,-122.29,37.81,46.0,935,297.0,582.0,277.0,0.7286,95200.0,NEAR BAY,0.0,No,2.0,Low,2023-12-18 18:00:00,2012.0,24.0,171.0,3.0,2.0,1.0,Pink
79,-122.29,37.81,49.0,844,204.0,560.0,152.0,1.75,75000.0,NEAR BAY,1.0,Yes,1.0,Very Low,2015-08-18 07:00:00,2024.0,36.0,4.0,8.0,16.0,4.0,Red
80,-122.29,37.81,46.0,12,4.0,18.0,7.0,0.4999,67500.0,NEAR BAY,0.0,No,3.0,Medium,2024-01-26 12:00:00,2021.0,30.0,36.0,3.0,22.0,1.0,Pink
